"filename", "language", "HTML", "PHP", "JSON", "Markdown", "reStructuredText", "JavaScript", "CSS", "XML", "YAML", "Makefile", "Docker", "comment", "blank", "total"
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\GraphNodes\GraphCoverPhoto.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 5, 73
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\GraphNodes\GraphEdge.php", "PHP", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 31, 261
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\GraphNodes\GraphEvent.php", "PHP", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 22, 243
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\GraphNodes\GraphGroup.php", "PHP", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 16, 172
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\GraphNodes\GraphList.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 2, 37
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\GraphNodes\GraphLocation.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 8, 103
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\GraphNodes\GraphNode.php", "PHP", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 16, 186
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\GraphNodes\GraphNodeFactory.php", "PHP", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 205, 42, 393
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\GraphNodes\GraphObject.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 2, 37
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\GraphNodes\GraphObjectFactory.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 6, 87
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\GraphNodes\GraphPage.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 10, 126
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\GraphNodes\GraphPicture.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 5, 73
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\GraphNodes\GraphSessionInfo.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 8, 103
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\GraphNodes\GraphUser.php", "PHP", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 14, 163
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\Helpers\FacebookCanvasHelper.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 3, 53
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\Helpers\FacebookJavaScriptHelper.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 2, 43
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\Helpers\FacebookPageTabHelper.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 10, 96
"c:\wamp\www\complaint\application\libraries\facebook-php-sdk\src\Facebook\Helpers\FacebookRedirectLoginHelper.php", "PHP", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 43, 361
